No.,Name,Primary Pos,College,Primary Crew (start of season),NFL Experience (including year),Year
101,Carl Johnson,LJ,Nicholls State,McAulay,14,2017
55,Alex Kemp,SJ,Central Michigan,Hochuli,4,2017
121,Paul King,U,Nicholls State,Torbert,9,2017
21,Jeff Lamberth,SJ,Texas A&M,Wrolstad,16,2017
73,Joe Larrew,FJ,St. Louis,Blakeman,16,2017
2,Bart Longson,LJ,Brigham Young,Corrente,3,2017
89,Jon Lucivansky,FJ,Minnesota,Vinovich,9,2017
10,Julian Mapp,LJ,Grambling State,Wrolstad,9,2017
107,Ron Marinucci,LJ,Glassboro State,Hussey,21,2017
19,Clay Martin,U,Oklahoma Baptist,Cheffers,3,2017
39,Rich Martinez,BJ,Canisius,McAulay,4,2017
77,Terry McAulay,R,Louisiana State,McAulay,20,2017
8,Dana McKenzie,LJ,Toledo,Blakeman,10,2017
110,Phil McKinnely,DJ,UCLA,Vinovich,16,2017
48,Jim Mello,DJ,Northeastern,Allen,14,2017
118,Dave Meslow,FJ,Augsburg,Parry,7,2017
78,Greg Meyer,BJ,Texas Christian,Vinovich,16,2017
115,Tony Michalek,U,Indiana,Hussey,16,2017
111,Terrence Miles,BJ,Arizona State,Coleman,10,2017
120,Jonah Monroe,SJ,Arkansas,McAulay,3,2017
135,Pete Morelli,R,St. Mary's,Morelli,21,2017
92,Bryan Neale,U,Indiana,Morelli,4,2017
1,Scott Novak,FJ,Phoenix,Coleman,4,2017
24,David Oliver,DJ,Baker,Steratore,1,2017
124,Carl Paganelli,U,Michigan State,Anderson,19,2017
105,Dino Paganelli,BJ,Aquinas,Steratore,12,2017
46,Perry Paganelli,BJ,Hope,Parry,20,2017
132,John Parry,R,Purdue,Parry,18,2017
17,Steve Patrick,BJ,Jacksonville State,Blakeman,4,2017
15,Rick Patterson,FJ/SJ,Wofford,Swing,22,2017
79,Kent Payne,LJ,Nebraska Wesleyan,Cheffers,14,2017
131,Mark Pellis,U,Allegheny,Parry,4,2017
9,Mark Perlman,LJ,Salem,Vinovich,17,2017
6,Jerod Phillips,DJ,Northeastern State,Anderson,2,2017
47,Tim Podraza,LJ,Nebraska,Morelli,10,2017
109,Dyrol Prioleau,SJ,Johnson C. Smith,Blakeman,11,2017
30,Todd Prukop,BJ,Cal State-Fullerton,Corrente,9,2017
5,Jim Quirk,BJ,Middlebury,Cheffers,8,2017
44,Jeff Rice,U,Northwestern,Coleman,23,2017
31,Mearl Robinson,FJ,Air Force,Cheffers,1,2017
